"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,
Income tax [11]:Number........................................................,"941,612","304,142","167,036","219,667","147,254","54,229","37,561","11,723",,,
Amount.................................................................................,"5,629,316","207,096","334,131","865,784","1,076,819","693,947","905,582","1,545,957",,,
Total tax liability [12]:Number................................................,"972,150","333,409","168,008","219,891","147,307","54,240","37,568","11,727",,,
Amount.................................................................................,"5,969,445","253,998","368,646","935,721","1,144,994","732,294","959,085","1,574,707",,,
Tax due at time of filing [13]:Number....................................,"322,161","95,645","44,523","73,947","56,177","25,981","19,299","6,589",,,
Amount.................................................................................,"826,863","43,450","44,353","108,038","128,107","89,898","140,810","272,207",,,
Overpayments [14]:Number..................................................,"761,496","373,342","120,131","139,183","85,660","25,525","14,815","2,840",,,
Amount.................................................................................,"886,568","338,466","114,165","159,342","133,096","52,661","53,451","35,387",,,
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,0,,,
[Money amounts are in thousands of dollars],,,,,,,,0,,,
,,,,,Size of adjusted gross income,,,0,,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,
,,"$20,000 [1]",under,under,under,under,under,or more,,,
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,,
,-1,-2,-3,-4,-5,-6,-7,-8,,,
KENTUCKY,,,,,,,,0,,,
Number of returns....................................................................,"1,636,942","808,404","242,575","295,829","179,144","58,714","38,982","13,294",,,
Number of joint returns.........................................................,"766,231","190,277","113,587","204,572","157,027","53,972","35,069","11,727",,,
Number with paid preparer's signature................................,"829,762","366,670","123,418","165,054","102,527","33,711","26,615","11,767",,,
Number of exemptions [3]........................................................,"3,305,496","1,210,727","507,769","739,531","515,879","175,563","116,167","39,860",,,
Adjusted gross income (AGI) [4]..............................................,"51,611,460","7,163,477","5,969,662","11,552,521","10,827,547","4,997,494","5,107,676","5,993,083",,,
Salaries and wages in AGI:  Number...................................,"1,406,815","653,617","214,665","272,262","166,744","54,116","34,207","11,204",,,
Amount.............................................................................,"39,236,208","5,894,743","4,864,163","9,719,435","9,023,125","3,958,195","3,323,452","2,453,095",,,
Taxable interest:  Number....................................................,"807,752","260,758","113,234","185,534","144,962","53,231","37,009","13,024",,,
Amount.............................................................................,"1,814,574","431,508","207,747","303,209","267,834","135,658","183,248","285,370",,,
