"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"134,382","38,244","18,873","34,265","24,048","8,812","7,390"
Amount.............................................................................,"1,060,333","85,440","80,071","163,975","169,868","116,460","228,190"
Number of farm returns........................................................,"15,364","4,370","2,216",,"38,012,900",958,769
Net capital gain (less loss) in AGI:  Number........................,"135,925","33,051","14,494","27,300","26,829","13,718","13,954"
Amount.............................................................................,"1,554,536","64,369","34,837","74,700","109,211","94,222","201,926"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"35,940","9,751","6,164","8,636","6,567","2,541","1,822"
Amount.............................................................................,"264,305","36,114","29,230","50,949","55,342","31,763","40,007"
Pensions and annuities in AGI:  Number.............................,"124,183","37,722","21,357","29,222","21,504","7,725","5,170"
